alt,src,href,data-description,class,subtitle,class
A Photorealistic anvil based on Blender-Guru's Tutorial,https://i.ibb.co/wpS7yDM/Anvil.png,https://i.ibb.co/YfcX2vp/Anvil.png,A Photorealistic Anvil,mfp-image,From Blender Guru's tutorial : <a style="color: white;" href="https://youtube.com/playlist?list=PLjEaoINr3zgHJVJF3T3CFUAZ6z11jKg6a">Check it out!</a>,3D Tutorial Digital Image
Video of ducks on a lake based on Ian-Hubert's 2 minute tutorial,https://i.ibb.co/HPW8tFM/Ducks.png,https://www.youtube.com/watch?v=3zRSojXkSPY,Ducks on a lake,mfp-iframe,From Ian Hubert's tutorial : <a style="color: white;" href="https://youtu.be/tLhPhscC4F4">Check it out!</a> ,3D Tutorial Digital Video
A Snowy scene based on blender-Guru's Snow Tutorial,https://i.ibb.co/0JwJ5Zz/Snowy-Road.png,https://i.ibb.co/9YMYP2d/Snowy-Road.png,Snowy road,mfp-image,From Blender Guru's tutorial : <a style="color: white;" href="https://youtu.be/82zWmOqE0Nc">Check it out!</a>,3D Tutorial Digital Image
Forest landscape based on CG Geeks's tutorial,https://i.ibb.co/FK64493/Forest.jpg,https://i.ibb.co/47WRRct/Forest.jpg,Green forest,mfp-image,From CG Geek's tutorial : <a style="color: white;" href="https://youtu.be/72LPW4S8bns">Check it out!</a>,3D tutorial Digital Image
A Doll Modeled off an umbrella handle,https://i.ibb.co/7vjj13v/Doll.png,https://i.ibb.co/tBQQJ0B/Doll.png,Blue doll,mfp-image,I modelled this using a doll-shaped umbrella handle as reference XD,3D Digital Image
A WORLD OF KNOWLEDGE - CGBoost Contest submission,https://i.ibb.co/VgXYSDF/Library.png,https://i.ibb.co/WkSvyFr/Library.png,A WORLD OF KNOWLEDGE,mfp-image,This was created as a submission for the CG Boost Library challenge : <a style="color: white;" href="https://www.cgboost.com/challenges/library-challenge">Check it out!</a>,3D Digital Image Competition
A nice canyon,https://i.ibb.co/Y0qQrjk/Canyon.png,https://i.ibb.co/g4B9ngT/Canyon.png,WONDERFUL CANYON,mfp-image,A caling image of a green and peaceful canyon modelled on Blender,3D Digital Image
Attempted to create Bob Ross's painting digitally using a mouse -in Krita,https://i.ibb.co/wYD58Fg/Bon-Ross-Painting.jpg,https://i.ibb.co/t3yVnTK/Bon-Ross-Painting.jpg,The peaceful lake,mfp-image,My attempt to follow a Bob Ross' tutorial digitally using Krita : <a style="color: white;" href="https://youtu.be/lLWEXRAnQd0">Watch his video here!</a>,2D Digital Image 
An artwork depicting Paul the Octopus - known for the accurate predictions of match outcomes during the 2010 worldcup.,https://i.ibb.co/FHcQpJZ/Paul-Octopus.jpg,https://i.ibb.co/HhRcZYw/Paul-Octopus.jpg,Paul the octopus,mfp-image,Made this artwork for an artwork series by Artist Forum NITK - Check out the entire series  <a style="color: white;" href="https://www.instagram.com/p/B6-Ic8RAUCG/?utm_source=ig_web_button_share_sheet">here!</a>,2D Digital Image 
CROSSROADS - Fractal art made using Mandelbulb3D,https://i.ibb.co/3pRWb20/Fracal-Crossroads.jpg,https://i.ibb.co/ZB2Kr5h/Fracal-Crossroads.jpg,CROSSROADS,mfp-image,A fractal artwork i made using Mandelbulb3D,3D Digital Image 
JEWEL - Fractal art made using Mandelbulb3D,https://i.ibb.co/h9grNKY/Fractal-Jewel.jpg,https://i.ibb.co/LR0ByCN/Fractal-Jewel.jpg,JEWEL,mfp-image,A fractal artwork i made using Mandelbulb3D,3D Digital Image 
MICROVERSE - An image of cells and microorganisms made using Blender,https://i.ibb.co/pLgKDdb/Microverse.png,https://i.ibb.co/tJS2fDQ/Microverse.png,MICROVERSE,mfp-image,I wonder if this is how it actually looks if you look closely enough ,3D Digital Image
