"alt","src","href","data-description","class","subtitle","class"
"A Photorealistic anvil based on Blender-Guru's Tutorial","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783584/Anvil_akj0d7.png","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783584/Anvil_akj0d7.png","A Photorealistic Anvil","mfp-image","From Blender Guru's tutorial : <a style=""color: white;"" href=""https://youtube.com/playlist?list=PLjEaoINr3zgHJVJF3T3CFUAZ6z11jKg6a"">Check it out!</a>","3D Tutorial Digital Image"
"Video of ducks on a lake based on Ian-Hubert's 2 minute tutorial","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783580/Ducks_vpojwq.png","https://www.youtube.com/watch?v=3zRSojXkSPY","Ducks on a lake","mfp-iframe","From Ian Hubert's tutorial : <a style=""color: white;"" href=""https://youtu.be/tLhPhscC4F4"">Check it out!</a> ","3D Tutorial Digital Video"
"A Snowy scene based on blender-Guru's Snow Tutorial","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783587/Snowy-Road_xovbt6.png","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783587/Snowy-Road_xovbt6.png","Snowy road","mfp-image","From Blender Guru's tutorial : <a style=""color: white;"" href=""https://youtu.be/82zWmOqE0Nc"">Check it out!</a>","3D Tutorial Digital Image"
"Forest landscape based on CG Geeks's tutorial","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783579/Forest_uzlhwu.jpg","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783579/Forest_uzlhwu.jpg","Green forest","mfp-image","From CG Geek's tutorial : <a style=""color: white;"" href=""https://youtu.be/72LPW4S8bns"">Check it out!</a>","3D tutorial Digital Image"
"A Doll Modeled off an umbrella handle","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783580/Doll_wiezrc.png","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783580/Doll_wiezrc.png","Blue doll","mfp-image","I modelled this using a doll-shaped umbrella handle as reference XD","3D Digital Image"
"A WORLD OF KNOWLEDGE - CGBoost Contest submission","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783581/Library_faj3p9.png","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783581/Library_faj3p9.png","A WORLD OF KNOWLEDGE","mfp-image","This was created as a submission for the CG Boost Library challenge : <a style=""color: white;"" href=""https://www.cgboost.com/challenges/library-challenge"">Check it out!</a>","3D Digital Image Competition"
"A nice canyon","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783579/Canyon_nlufsa.png","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783579/Canyon_nlufsa.png","WONDERFUL CANYON","mfp-image","A caling image of a green and peaceful canyon modelled on Blender","3D Digital Image"
"Attempted to create Bob Ross's painting digitally using a mouse -in Krita","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783578/Bon-Ross-Painting_oshtgw.jpg","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783578/Bon-Ross-Painting_oshtgw.jpg","The peaceful lake","mfp-image","My attempt to follow a Bob Ross' tutorial digitally using Krita : <a style=""color: white;"" href=""https://youtu.be/lLWEXRAnQd0"">Watch his video here!</a>","2D Digital Image"
"An artwork depicting Paul the Octopus - known for the accurate predictions of match outcomes during the 2010 worldcup.","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783587/Paul-Octopus_l3kt4j.jpg","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783587/Paul-Octopus_l3kt4j.jpg","Paul the octopus","mfp-image","Made this artwork for an artwork series by Artist Forum NITK - Check out the entire series  <a style=""color: white;"" href=""https://www.instagram.com/p/B6-Ic8RAUCG/?utm_source=ig_web_button_share_sheet"">here!</a>","2D Digital Image"
"CROSSROADS - Fractal art made using Mandelbulb3D","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783580/Fracal-Crossroads_ksobmu.jpg","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783580/Fracal-Crossroads_ksobmu.jpg","CROSSROADS","mfp-image","A fractal artwork i made using Mandelbulb3D","3D Digital Image"
"JEWEL - Fractal art made using Mandelbulb3D","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783580/Fractal-Jewel_dhffpp.jpg","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783580/Fractal-Jewel_dhffpp.jpg","JEWEL","mfp-image","A fractal artwork i made using Mandelbulb3D","3D Digital Image"
"MICROVERSE - An image of cells and microorganisms made using Blender","https://res.cloudinary.com/dtml8icqh/image/upload/w_600,h_600,c_limit/v1760783593/Microverse_m5nqvl.png","https://res.cloudinary.com/dtml8icqh/image/upload/v1760783593/Microverse_m5nqvl.png","MICROVERSE","mfp-image","I wonder if this is how it actually looks if you look closely enough ","3D Digital Image"
